TransectID,Meter,SampleID,LongestBladeLength.mm,LongestBladeWidth.mm,SheathLength.mm,3rd.BladeLength.mm,3rd.BladeWidth.mm,DiseasePrevalence,GrazingScars,BrokenTip,TinMass.Epibiont.g,TinAndEpibiontDryMass.g,EpibiontDryMass.g,BladeArea.cm2
2019-07-30_BC_A_L5,m20,2019-07-30_BC_A_L5_m20,866,3,185,606,3,1,0,n,NA,NA,NA,18.18
2019-07-30_BC_A_L6,m4,2019-07-30_BC_A_L6_m4,1032,4,265,960,4,0,0,n,NA,NA,NA,38.4
2019-07-30_BC_A_L6,m8,2019-07-30_BC_A_L6_m8,624,4,134,493,4,0,0,n,NA,NA,NA,19.72
2019-07-30_BC_A_L6,m12,2019-07-30_BC_A_L6_m12,1500,5,398,831,4,0,0,n,NA,NA,NA,33.24
2019-07-30_BC_A_L6,m16,2019-07-30_BC_A_L6_m16,1165,4,250,746,4,0,0,n,NA,NA,NA,29.84
2019-07-30_BC_A_L6,m20,2019-07-30_BC_A_L6_m20,1000,5,162,780,4,0,0,n,NA,NA,NA,31.2
2019-07-31_BC_B_U1,m4,2019-07-31_BC_B_U1_m4,1378,7,295,207,6,0,0,y,NA,NA,NA,12.42
2019-07-31_BC_B_U1,m8,2019-07-31_BC_B_U1_m8,1185,7,221,978,7,1,0,n,NA,NA,NA,68.46
2019-07-31_BC_B_U1,m12,2019-07-31_BC_B_U1_m12,NA,NA,NA,1196,7,0,0,n,NA,NA,NA,83.72
2019-07-31_BC_B_U1,m16,2019-07-31_BC_B_U1_m16,1249,8,260,690,7,0,0,y,NA,NA,NA,48.3
2019-07-31_BC_B_U1,m20,2019-07-31_BC_B_U1_m20,1119,8,232,896,7,0,0,n,1.4623,1.4881,0.0258,62.72
2019-07-31_BC_B_U2,m4,2019-07-31_BC_B_U2_m4,1278,6,235,553,6,0,0,y,NA,NA,NA,33.18
2019-07-31_BC_B_U2,m8,2019-07-31_BC_B_U2_m8,1199,7,261,415,7,0,0,y,NA,NA,NA,29.05
2019-07-31_BC_B_U2,m12,2019-07-31_BC_B_U2_m12,1134,7,215,930,7,0,0,n,NA,NA,NA,65.1
2019-07-31_BC_B_U2,m16,2019-07-31_BC_B_U2_m16,1125,8,190,897,7,0,0,n,NA,NA,NA,62.79
2019-07-31_BC_B_U2,m20,2019-07-31_BC_B_U2_m20,1093,6,220,881,6,0,0,n,NA,NA,NA,52.86
2019-07-31_BC_B_U3,m4,2019-07-31_BC_B_U3_m4,1224,5,205,996,6,0,0,n,NA,NA,NA,59.76
2019-07-31_BC_B_U3,m8,2019-07-31_BC_B_U3_m8,1345,8,266,1099,8,0,1,n,NA,NA,NA,87.92
2019-07-31_BC_B_U3,m12,2019-07-31_BC_B_U3_m12,1282,6,216,1068,7,0,0,y,NA,NA,NA,74.76
2019-07-31_BC_B_U3,m16,2019-07-31_BC_B_U3_m16,1251,8,208,971,8,0,0,n,1.4589,1.4703,0.0114,77.68
2019-07-31_BC_B_U3,m20,2019-07-31_BC_B_U3_m20,1042,7,200,840,7,0,0,n,NA,NA,NA,58.8
2019-07-31_BC_B_L4,m4,2019-07-31_BC_B_L4_m4,1692,5,160,1265,5,0,0,n,NA,NA,NA,63.25
2019-07-31_BC_B_L4,m8,2019-07-31_BC_B_L4_m8,1243,8,278,913,7,0,0,y,NA,NA,NA,63.91
2019-07-31_BC_B_L4,m12,2019-07-31_BC_B_L4_m12,1138,8,247,893,6,1,1,y,NA,NA,NA,53.58
2019-07-31_BC_B_L4,m16,2019-07-31_BC_B_L4_m16,1055,6,231,820,6,0,0,n,NA,NA,NA,49.2
2019-07-31_BC_B_L4,m20,2019-07-31_BC_B_L4_m20,1096,7,244,790,7,0,0,y,NA,NA,NA,55.3
2019-07-31_BC_B_L5,m4,2019-07-31_BC_B_L5_m4,1345,6,252,927,6,1,0,n,NA,NA,NA,55.62
2019-07-31_BC_B_L5,m8,2019-07-31_BC_B_L5_m8,1388,7,260,1092,7,0,0,n,NA,NA,NA,76.44
2019-07-31_BC_B_L5,m12,2019-07-31_BC_B_L5_m12,914,7,192,540,6,0,0,y,NA,NA,NA,32.4
2019-07-31_BC_B_L5,m16,2019-07-31_BC_B_L5_m16,1505,7,313,612,7,0,0,y,NA,NA,NA,42.84
2019-07-31_BC_B_L5,m20,2019-07-31_BC_B_L5_m20,1444,6,280,1186,5,1,4,n,NA,NA,NA,59.3
2019-07-31_BC_B_L6,m4,2019-07-31_BC_B_L6_m4,720,8,245,515,7,0,0,y,NA,NA,NA,36.05
2019-07-31_BC_B_L6,m8,2019-07-31_BC_B_L6_m8,1535,6,264,482,6,0,0,y,NA,NA,NA,28.92
2019-07-31_BC_B_L6,m12,2019-07-31_BC_B_L6_m12,1105,6,270,855,6,0,0,y,NA,NA,NA,51.3
2019-07-31_BC_B_L6,m16,2019-07-31_BC_B_L6_m16,1092,8,240,851,8,0,0,n,NA,NA,NA,68.08
2019-07-31_BC_B_L6,m20,2019-07-31_BC_B_L6_m20,1676,8,291,992,8,0,2,y,NA,NA,NA,79.36
2019-08-01_BC_C_U1,m4,2019-08-01_BC_C_U1_m4,452,5,77,365,5,0,0,n,NA,NA,NA,18.25
2019-08-01_BC_C_U1,m8,2019-08-01_BC_C_U1_m8,317,4,50,242,4,0,0,n,NA,NA,NA,9.68
2019-08-01_BC_C_U1,m12,2019-08-01_BC_C_U1_m12,403,5,66,234,5,0,0,y,NA,NA,NA,11.7
2019-08-01_BC_C_U1,m16,2019-08-01_BC_C_U1_m16,239,4,53,176,3,0,0,n,NA,NA,NA,5.28
2019-08-01_BC_C_U1,m20,2019-08-01_BC_C_U1_m20,293,5,67,226,4,0,0,n,NA,NA,NA,9.04
2019-08-01_BC_C_U2,m4,2019-08-01_BC_C_U2_m4,385,5,75,315,5,0,0,n,NA,NA,NA,15.75
2019-08-01_BC_C_U2,m8,2019-08-01_BC_C_U2_m8,283,3,63,224,3,0,0,n,NA,NA,NA,6.72
2019-08-01_BC_C_U2,m12,2019-08-01_BC_C_U2_m12,335,4,75,274,4,0,0,n,NA,NA,NA,10.96
2019-08-01_BC_C_U2,m16,2019-08-01_BC_C_U2_m16,295,5,59,238,5,0,0,n,NA,NA,NA,11.9
2019-08-01_BC_C_U2,m20,2019-08-01_BC_C_U2_m20,352,5,75,273,5,0,0,n,NA,NA,NA,13.65
2019-08-01_BC_C_U3,m4,2019-08-01_BC_C_U3_m4,211,4,43,172,3,0,0,n,NA,NA,NA,5.16
2019-08-01_BC_C_U3,m8,2019-08-01_BC_C_U3_m8,415,4,64,272,4,0,2,n,NA,NA,NA,10.88
2019-08-01_BC_C_U3,m12,2019-08-01_BC_C_U3_m12,311,5,66,243,4,0,0,n,NA,NA,NA,9.72
2019-08-01_BC_C_U3,m16,2019-08-01_BC_C_U3_m16,606,4,111,360,5,1,0,y,NA,NA,NA,18
2019-08-01_BC_C_U3,m20,2019-08-01_BC_C_U3_m20,414,5,82,328,5,0,0,n,NA,NA,NA,16.4
2019-08-01_BC_C_L4,m4,2019-08-01_BC_C_L4_m4,785,6,145,650,6,0,1,y,NA,NA,NA,39
2019-08-01_BC_C_L4,m8,2019-08-01_BC_C_L4_m8,701,5,138,564,5,0,0,n,NA,NA,NA,28.2
2019-08-01_BC_C_L4,m12,2019-08-01_BC_C_L4_m12,825,5,176,540,5,1,3,y,NA,NA,NA,27
2019-08-01_BC_C_L4,m16,2019-08-01_BC_C_L4_m16,595,5,108,251,5,0,1,y,NA,NA,NA,12.55
2019-08-01_BC_C_L4,m20,2019-08-01_BC_C_L4_m20,309,4,74,243,4,0,0,n,NA,NA,NA,9.72
2019-08-01_BC_C_L5,m4,2019-08-01_BC_C_L5_m4,996,5,189,809,6,0,0,n,NA,NA,NA,48.54
2019-08-01_BC_C_L5,m8,2019-08-01_BC_C_L5_m8,1004,5,192,810,5,0,3,y,NA,NA,NA,40.5
2019-08-01_BC_C_L5,m12,2019-08-01_BC_C_L5_m12,830,6,171,592,5,0,1,y,NA,NA,NA,29.6
2019-08-01_BC_C_L5,m16,2019-08-01_BC_C_L5_m16,758,5,146,340,6,1,0,y,NA,NA,NA,20.4
2019-08-01_BC_C_L5,m20,2019-08-01_BC_C_L5_m20,663,5,123,413,5,0,0,y,NA,NA,NA,20.65
2019-08-01_BC_C_L6,m4,2019-08-01_BC_C_L6_m4,1035,6,198,736,6,0,3,y,NA,NA,NA,44.16
2019-08-01_BC_C_L6,m8,2019-08-01_BC_C_L6_m8,576,6,165,315,6,0,0,y,NA,NA,NA,18.9
2019-08-01_BC_C_L6,m12,2019-08-01_BC_C_L6_m12,681,7,155,675,6,0,5,y,NA,NA,NA,40.5
2019-08-01_BC_C_L6,m16,2019-08-01_BC_C_L6_m16,986,6,194,415,6,0,0,y,NA,NA,NA,24.9
2019-08-01_BC_C_L6,m20,2019-08-01_BC_C_L6_m20,1102,6,210,900,6,1,5,n,NA,NA,NA,54
2019-08-02_BC_D_U1,m4,2019-08-02_BC_D_U1_m4,473,2,108,360,2,0,0,y,NA,NA,NA,7.2
2019-08-02_BC_D_U1,m8,2019-08-02_BC_D_U1_m8,432,2,90,325,2,0,0,n,NA,NA,NA,6.5
2019-08-02_BC_D_U1,m12,2019-08-02_BC_D_U1_m12,328,2,65,252,2,0,1,y,NA,NA,NA,5.04
2019-08-02_BC_D_U1,m16,2019-08-02_BC_D_U1_m16,644,4,145,439,5,0,1,n,NA,NA,NA,21.95
2019-08-02_BC_D_U1,m20,2019-08-02_BC_D_U1_m20,408,2,75,296,2,0,0,y,NA,NA,NA,5.92
2019-08-02_BC_D_U2,m4,2019-08-02_BC_D_U2_m4,571,2,80,392,2,0,0,n,NA,NA,NA,7.84
2019-08-02_BC_D_U2,m8,2019-08-02_BC_D_U2_m8,467,2,86,223,2,0,0,n,NA,NA,NA,4.46
2019-08-02_BC_D_U2,m12,2019-08-02_BC_D_U2_m12,680,3,127,541,3,0,1,n,NA,NA,NA,16.23
2019-08-02_BC_D_U2,m16,2019-08-02_BC_D_U2_m16,322,2,65,280,2,0,0,y,NA,NA,NA,5.6
2019-08-02_BC_D_U2,m20,2019-08-02_BC_D_U2_m20,388,2,70,313,2,0,0,n,NA,NA,NA,6.26
2019-08-02_BC_D_U3,m4,2019-08-02_BC_D_U3_m4,390,4,82,264,3,0,0,n,NA,NA,NA,7.92
2019-08-02_BC_D_U3,m8,2019-08-02_BC_D_U3_m8,331,3,74,200,3,0,1,y,NA,NA,NA,6
2019-08-02_BC_D_U3,m12,2019-08-02_BC_D_U3_m12,594,4,,326,4,0,0,y,NA,NA,NA,13.04
2019-08-02_BC_D_U3,m16,2019-08-02_BC_D_U3_m16,235,3,48,189,2,0,0,n,NA,NA,NA,3.78
2019-08-02_BC_D_U3,m20,2019-08-02_BC_D_U3_m20,327,3,102,144,2,0,0,n,NA,NA,NA,2.88
2019-08-02_BC_D_L4,m4,2019-08-02_BC_D_L4_m4,873,5,185,787,5,0,0,n,NA,NA,NA,39.35
2019-08-02_BC_D_L4,m8,2019-08-02_BC_D_L4_m8,826,5,150,655,5,0,0,n,NA,NA,NA,32.75
2019-08-02_BC_D_L4,m12,2019-08-02_BC_D_L4_m12,537,5,100,400,5,0,0,y,NA,NA,NA,20
2019-08-02_BC_D_L4,m16,2019-08-02_BC_D_L4_m16,508,4,131,299,4,0,0,n,NA,NA,NA,11.96
2019-08-02_BC_D_L4,m20,2019-08-02_BC_D_L4_m20,475,4,114,361,4,0,0,n,1.6995,1.7507,0.0512,14.44
2019-08-02_BC_D_L5,m4,2019-08-02_BC_D_L5_m4,806,6,139,663,6,0,0,n,NA,NA,NA,39.78
2019-08-02_BC_D_L5,m8,2019-08-02_BC_D_L5_m8,879,5,180,694,5,0,0,n,NA,NA,NA,34.7
2019-08-02_BC_D_L5,m12,2019-08-02_BC_D_L5_m12,1141,5,179,956,6,0,1,n,NA,NA,NA,57.36
2019-08-02_BC_D_L5,m16,2019-08-02_BC_D_L5_m16,801,5,148,624,5,1,0,y,1.6179,1.6263,0.0084,31.2
2019-08-02_BC_D_L5,m20,2019-08-02_BC_D_L5_m20,365,4,67,278,3,0,0,y,NA,NA,NA,8.34
2019-08-02_BC_D_L6,m4,2019-08-02_BC_D_L6_m4,921,5,192,726,5,0,2,n,NA,NA,NA,36.3
2019-08-02_BC_D_L6,m8,2019-08-02_BC_D_L6_m8,760,5,137,626,5,0,0,y,1.2128,1.2331,0.0203,31.3
2019-08-02_BC_D_L6,m12,2019-08-02_BC_D_L6_m12,520,6,104,394,6,0,0,n,NA,NA,NA,23.64
2019-08-02_BC_D_L6,m16,2019-08-02_BC_D_L6_m16,867,5,161,618,5,0,5,y,NA,NA,NA,30.9
2019-08-02_BC_D_L6,m20,2019-08-02_BC_D_L6_m20,902,6,195,713,5,0,0,n,NA,NA,NA,35.65
2019-08-03_BC_E_U1,m4,2019-08-03_BC_E_U1_m4,266,3,44,227,2,0,0,y,NA,NA,NA,4.54
2019-08-03_BC_E_U1,m8,2019-08-03_BC_E_U1_m8,241,2,57,168,2,1,0,n,NA,NA,NA,3.36
2019-08-03_BC_E_U1,m12,2019-08-03_BC_E_U1_m12,148,1,34,116,1,0,0,n,NA,NA,NA,1.16
2019-08-03_BC_E_U1,m16,2019-08-03_BC_E_U1_m16,150,1,35,118,1,0,0,n,NA,NA,NA,1.18
2019-08-03_BC_E_U1,m20,2019-08-03_BC_E_U1_m20,132,2,28,104,2,0,0,n,NA,NA,NA,2.08
2019-08-03_BC_E_U2,m4,2019-08-03_BC_E_U2_m4,214,3,40,138,2,0,0,n,NA,NA,NA,2.76
2019-08-03_BC_E_U2,m8,2019-08-03_BC_E_U2_m8,423,2,72,319,2,0,0,n,NA,NA,NA,6.38
2019-08-03_BC_E_U2,m12,2019-08-03_BC_E_U2_m12,192,2,50,143,2,1,0,n,NA,NA,NA,2.86
2019-08-03_BC_E_U2,m16,2019-08-03_BC_E_U2_m16,217,2,39,55,2,1,0,y,NA,NA,NA,1.1
2019-08-03_BC_E_U2,m20,2019-08-03_BC_E_U2_m20,217,2,52,134,2,0,0,n,NA,NA,NA,2.68
2019-08-03_BC_E_U3,m4,2019-08-03_BC_E_U3_m4,200,2,44,126,2,0,0,n,NA,NA,NA,2.52
2019-08-03_BC_E_U3,m8,2019-08-03_BC_E_U3_m8,225,3,34,169,3,0,0,n,NA,NA,NA,5.07
2019-08-03_BC_E_U3,m12,2019-08-03_BC_E_U3_m12,230,2,42,171,2,0,0,n,NA,NA,NA,3.42
2019-08-03_BC_E_U3,m16,2019-08-03_BC_E_U3_m16,305,3,65,144,3,0,0,y,NA,NA,NA,4.32
2019-08-03_BC_E_U3,m20,2019-08-03_BC_E_U3_m20,203,2,49,156,2,0,0,n,NA,NA,NA,3.12
2019-08-03_BC_E_L4,m4,2019-08-03_BC_E_L4_m4,504,4,96,305,3,0,0,y,NA,NA,NA,9.15
2019-08-03_BC_E_L4,m8,2019-08-03_BC_E_L4_m8,270,2,61,174,2,0,0,n,NA,NA,NA,3.48
2019-08-03_BC_E_L4,m12,2019-08-03_BC_E_L4_m12,688,3,144,454,3,0,0,n,NA,NA,NA,13.62
2019-08-03_BC_E_L4,m16,2019-08-03_BC_E_L4_m16,810,4,155,654,4,0,0,y,NA,NA,NA,26.16
2019-08-03_BC_E_L4,m20,2019-08-03_BC_E_L4_m20,631,4,128,512,4,0,0,n,NA,NA,NA,20.48
2019-08-03_BC_E_L5,m4,2019-08-03_BC_E_L5_m4,827,3,193,625,3,0,0,n,NA,NA,NA,18.75
2019-08-03_BC_E_L5,m8,2019-08-03_BC_E_L5_m8,629,4,164,499,4,1,0,n,1.1654,1.1783,0.0129,19.96
2019-08-03_BC_E_L5,m12,2019-08-03_BC_E_L5_m12,843,3,200,592,3,0,0,n,NA,NA,NA,17.76
2019-08-03_BC_E_L5,m16,2019-08-03_BC_E_L5_m16,870,3,145,729,3,1,2,n,NA,NA,NA,21.87
2019-08-03_BC_E_L5,m20,2019-08-03_BC_E_L5_m20,292,3,60,225,2,0,0,n,NA,NA,NA,4.5
2019-08-03_BC_E_L6,m4,2019-08-03_BC_E_L6_m4,477,3,104,345,3,1,0,y,NA,NA,NA,10.35
2019-08-03_BC_E_L6,m8,2019-08-03_BC_E_L6_m8,486,4,92,355,3,0,0,n,NA,NA,NA,10.65
2019-08-03_BC_E_L6,m12,2019-08-03_BC_E_L6_m12,508,4,112,376,4,0,0,n,NA,NA,NA,15.04
2019-08-03_BC_E_L6,m16,2019-08-03_BC_E_L6_m16,458,5,81,370,5,0,0,n,NA,NA,NA,18.5
2019-08-03_BC_E_L6,m20,2019-08-03_BC_E_L6_m20,365,3,79,350,3,1,0,y,NA,NA,NA,10.5
2019-07-14_WA_A_U1,m4,2019-07-14_WA_A_U1_m4,998,6,156,,,1,0,N,2.2656,2.2726,0.007,This cell will autocalculate
2019-07-14_WA_A_U1,m8,2019-07-14_WA_A_U1_m8,651,6,130,,,1,0,Y,2.2266,2.2335,0.0069,This cell will autocalculate
2019-07-14_WA_A_U1,m12,2019-07-14_WA_A_U1_m12,578,5,125,,,0,0,Y,2.247,2.255,0.008,This cell will autocalculate
2019-07-14_WA_A_U1,m16,2019-07-14_WA_A_U1_m16,538,4,92,,,1,0,N,2.2854,2.2913,0.0059,This cell will autocalculate
2019-07-14_WA_A_U1,m20,2019-07-14_WA_A_U1_m20,880,6,124,,,0,0,N,2.2366,2.2422,0.0056,This cell will autocalculate
2019-07-14_WA_A_U2,m4,2019-07-14_WA_A_U2_m4,907,5,152,,,0,0,Y,2.2278,2.2358,0.008,This cell will autocalculate
2019-07-14_WA_A_U2,m8,2019-07-14_WA_A_U2_m8,787,6,153,,,0,0,N,2.2268,2.2296,0.0028,This cell will autocalculate
2019-07-14_WA_A_U2,m12,2019-07-14_WA_A_U2_m12,945,7,180,,,1,0,N,2.2129,2.2298,0.0169,This cell will autocalculate
2019-07-14_WA_A_U2,m16,2019-07-14_WA_A_U2_m16,883,6,144,,,1,0,Y,2.2523,2.2568,0.0045,This cell will autocalculate
2019-07-14_WA_A_U2,m20,2019-07-14_WA_A_U2_m20,1930,7,220,,,0,0,N,2.2358,2.2427,0.0069,This cell will autocalculate
2019-07-14_WA_A_U3,m4,2019-07-14_WA_A_U3_m4,575,5.5,121,,,1,,N,2.2375,2.2437,0.0062,This cell will autocalculate
2019-07-14_WA_A_U3,m8,2019-07-14_WA_A_U3_m8,806,7.5,136,,,1,,N,2.2551,2.2723,0.0172,This cell will autocalculate
2019-07-14_WA_A_U3,m12,2019-07-14_WA_A_U3_m12,588,5,137,,,1,,Y,2.2692,2.2785,0.0093,This cell will autocalculate
2019-07-14_WA_A_U3,m16,2019-07-14_WA_A_U3_m16,783,8,175,,,0,,Y,2.2509,2.2601,0.0092,This cell will autocalculate
2019-07-14_WA_A_U3,m20,2019-07-14_WA_A_U3_m20,827,8,150,,,1,,Y,2.2701,2.2756,0.0055,This cell will autocalculate
2019-07-14_WA_A_L4,m4,2019-07-14_WA_A_L4_m4,756,6.5,188,,,,,,2.2391,2.2816,0.0425,This cell will autocalculate
2019-07-14_WA_A_L4,m8,2019-07-14_WA_A_L4_m8,750,6,173,,,,,,2.2431,2.2505,0.0074,This cell will autocalculate
2019-07-14_WA_A_L4,m12,2019-07-14_WA_A_L4_m12,878,6.5,198,,,,,,2.2551,2.2661,0.011,This cell will autocalculate
2019-07-14_WA_A_L4,m16,2019-07-14_WA_A_L4_m16,878,8,176,,,,,,2.2722,,This cell will autocalculate,This cell will autocalculate
2019-07-14_WA_A_L4,m20,2019-07-14_WA_A_L4_m20,597,5,120,,,,,,2.2611,2.2689,0.0078,This cell will autocalculate
2019-07-14_WA_A_L5,m4,2019-07-14_WA_A_L5_m4,832,7.5,185,,,1,9,N,2.2489,2.255,0.0061,This cell will autocalculate
2019-07-14_WA_A_L5,m8,2019-07-14_WA_A_L5_m8,863,6,196,,,1,2,N,2.2585,2.2643,0.0058,This cell will autocalculate
2019-07-14_WA_A_L5,m12,2019-07-14_WA_A_L5_m12,970,8.5,173,,,1,9,N,2.2417,2.2626,0.0209,This cell will autocalculate
2019-07-14_WA_A_L5,m16,2019-07-14_WA_A_L5_m16,756,7,187,,,1,0,Y,2.2398,2.2442,0.0044,This cell will autocalculate
2019-07-14_WA_A_L5,m20,2019-07-14_WA_A_L5_m20,1006,6.5,195,,,1,11,N,2.2478,2.2551,0.0073,This cell will autocalculate
2019-07-14_WA_A_L6,m4,2019-07-14_WA_A_L6_m4,982,8,195,,,1,15,N,2.2664,2.2762,0.0098,This cell will autocalculate
2019-07-14_WA_A_L6,m8,2019-07-14_WA_A_L6_m8,940,6,170,,,1,2,N,2.2478,2.2552,0.0074,This cell will autocalculate
2019-07-14_WA_A_L6,m12,2019-07-14_WA_A_L6_m12,885,6,170,,,1,13,Y,2.2496,2.2727,0.0231,This cell will autocalculate
2019-07-14_WA_A_L6,m16,2019-07-14_WA_A_L6_m16,998,7,204,,,1,0,N,2.2513,2.2687,0.0174,This cell will autocalculate
2019-07-14_WA_A_L6,m20,2019-07-14_WA_A_L6_m20,753,5,154,,,1,0,N,2.2474,2.2658,0.0184,This cell will autocalculate
2019-07-15_WA_B_U1,m4,2019-07-15_WA_B_U1_m4,812,8,201,,,1,,N,2.2457,2.2642,0.0185,This cell will autocalculate
2019-07-15_WA_B_U1,m8,2019-07-15_WA_B_U1_m8,734,8,139,,,1,,N,2.2637,2.3334,0.0697,This cell will autocalculate
2019-07-15_WA_B_U1,m12,2019-07-15_WA_B_U1_m12,1093,8,246,,,1,,N,2.2655,2.3337,0.0682,This cell will autocalculate
2019-07-15_WA_B_U1,m16,2019-07-15_WA_B_U1_m16,647,8.5,142,,,1,,Y,2.2878,3.7868,1.499,This cell will autocalculate
2019-07-15_WA_B_U1,m20,2019-07-15_WA_B_U1_m20,834,7,152,,,1,,N,2.2521,2.3471,0.095,This cell will autocalculate
2019-07-15_WA_B_U2,m4,2019-07-15_WA_B_U2_m4,885,9,150,,,0,,N,2.2297,2.2709,0.0412,This cell will autocalculate
2019-07-15_WA_B_U2,m8,2019-07-15_WA_B_U2_m8,932,8,143,,,1,,,2.2536,2.3748,0.1212,This cell will autocalculate
2019-07-15_WA_B_U2,m12,2019-07-15_WA_B_U2_m12,803,8,108,,,0,,,2.2646,2.2941,0.0295,This cell will autocalculate
2019-07-15_WA_B_U2,m16,2019-07-15_WA_B_U2_m16,1067,7,178,,,0,,,2.2619,2.2923,0.0304,This cell will autocalculate
2019-07-15_WA_B_U2,m20,2019-07-15_WA_B_U2_m20,555,8.5,115,,,1,,,2.2508,2.2847,0.0339,This cell will autocalculate
2019-07-15_WA_B_U3,m4,2019-07-15_WA_B_U3_m4,375,5,94,,,1,,N,2.2541,3.6599,1.4058,This cell will autocalculate
2019-07-15_WA_B_U3,m8,2019-07-15_WA_B_U3_m8,675,8,140,,,1,,N,2.2517,3.0671,0.8154,This cell will autocalculate
2019-07-15_WA_B_U3,m12,2019-07-15_WA_B_U3_m12,900,8,188,,,1,,N,2.2472,3.1245,0.8773,This cell will autocalculate
2019-07-15_WA_B_U3,m16,2019-07-15_WA_B_U3_m16,1037,8,264,,,0,,N,2.2357,2.8281,0.5924,This cell will autocalculate
2019-07-15_WA_B_U3,m20,2019-07-15_WA_B_U3_m20,830,10,188,,,0,,N,2.2321,3.8495,1.6174,This cell will autocalculate
2019-07-15_WA_B_L4,m4,2019-07-15_WA_B_L4_m4,735,9,145,,,1,,Y,2.2629,2.281,0.0181,This cell will autocalculate
2019-07-15_WA_B_L4,m8,2019-07-15_WA_B_L4_m8,1050,,,,,1,,,2.278,2.3598,0.0818,This cell will autocalculate
2019-07-15_WA_B_L4,m12,2019-07-15_WA_B_L4_m12,1033,9,190,,,1,,,2.2698,2.3157,0.0459,This cell will autocalculate
2019-07-15_WA_B_L4,m16,2019-07-15_WA_B_L4_m16,955,9,168,,,1,,,2.2376,2.4115,0.1739,This cell will autocalculate
2019-07-15_WA_B_L4,m20,2019-07-15_WA_B_L4_m20,1063,10,245,,,1,,,2.2316,2.8674,0.6358,This cell will autocalculate
2019-07-15_WA_B_L5,m4,2019-07-15_WA_B_L5_m4,928,8,180,,,0,,Y,2.2523,2.2883,0.036,This cell will autocalculate
2019-07-15_WA_B_L5,m8,2019-07-15_WA_B_L5_m8,1186,8,194.5,,,1,,N,2.2555,2.4125,0.157,This cell will autocalculate
2019-07-15_WA_B_L5,m12,2019-07-15_WA_B_L5_m12,1219,9,278,,,1,,N,2.2564,2.3918,0.1354,This cell will autocalculate
2019-07-15_WA_B_L5,m16,2019-07-15_WA_B_L5_m16,1238,10,204,,,0,,Y,2.2688,2.6965,0.4277,This cell will autocalculate
2019-07-15_WA_B_L5,m20,2019-07-15_WA_B_L5_m20,462,6,45,,,1,,N,2.2617,2.3854,0.1237,This cell will autocalculate
2019-07-15_WA_B_L6,m4,2019-07-15_WA_B_L6_m4,1082,8.5,206,,,1,,N,2.2537,2.4176,0.1639,This cell will autocalculate
2019-07-15_WA_B_L6,m8,2019-07-15_WA_B_L6_m8,1090,8,245,,,1,,Y,2.2315,2.2646,0.0331,This cell will autocalculate
2019-07-15_WA_B_L6,m12,2019-07-15_WA_B_L6_m12,771,9,140,,,1,,N,2.2918,2.6215,0.3297,This cell will autocalculate
2019-07-15_WA_B_L6,m16,2019-07-15_WA_B_L6_m16,323,6,65,,,0,,N,2.2457,2.2692,0.0235,This cell will autocalculate
2019-07-15_WA_B_L6,m20,2019-07-15_WA_B_L6_m20,700,8,135,,,1,,Y,2.207,3.1617,0.9547,This cell will autocalculate
2019-07-18_WA_C_U1,m4,2019-07-18_WA_C_U1_m4,680,6,80,,,1,,Y,1.7241,1.8039,0.0798,This cell will autocalculate
2019-07-18_WA_C_U1,m8,2019-07-18_WA_C_U1_m8,465,5,105,,,1,,Y,2.0949,2.1537,0.0588,This cell will autocalculate
2019-07-18_WA_C_U1,m12,2019-07-18_WA_C_U1_m12,680,7,140,,,1,,Y,1.8881,1.9775,0.0894,This cell will autocalculate
2019-07-18_WA_C_U1,m16,2019-07-18_WA_C_U1_m16,490,5,83,,,1,,Y,1.5711,1.6254,0.0543,This cell will autocalculate
2019-07-18_WA_C_U1,m20,2019-07-18_WA_C_U1_m20,755,4,147,,,1,,Y,2.1947,2.2876,0.0929,This cell will autocalculate
2019-07-18_WA_C_U2,m4,2019-07-18_WA_C_U2_m4,410,7,110,,,1,,Y,1.6166,1.7084,0.0918,This cell will autocalculate
2019-07-18_WA_C_U2,m8,2019-07-18_WA_C_U2_m8,740,6,130,,,1,,Y,1.7259,1.8267,0.1008,This cell will autocalculate
2019-07-18_WA_C_U2,m12,2019-07-18_WA_C_U2_m12,340,4.5,60,,,1,,Y,1.5882,1.6275,0.0393,This cell will autocalculate
2019-07-18_WA_C_U2,m16,2019-07-18_WA_C_U2_m16,630,6,174,,,1,,Y,1.9246,1.9779,0.0533,This cell will autocalculate
2019-07-18_WA_C_U2,m20,2019-07-18_WA_C_U2_m20,550,6,125,,,1,,Y,1.9182,2.013,0.0948,This cell will autocalculate
2019-07-18_WA_C_U3,m4,2019-07-18_WA_C_U3_m4,625,5.5,165,,,1,,Y,1.6415,1.7398,0.0983,This cell will autocalculate
2019-07-18_WA_C_U3,m8,2019-07-18_WA_C_U3_m8,803,6,139,,,1,,N,1.6437,1.668,0.0243,This cell will autocalculate
2019-07-18_WA_C_U3,m12,2019-07-18_WA_C_U3_m12,904,7,206,,,1,,Y,1.9211,1.939,0.0179,This cell will autocalculate
2019-07-18_WA_C_U3,m16,2019-07-18_WA_C_U3_m16,505,5,138,,,1,,N,1.6628,1.6777,0.0149,This cell will autocalculate
